"Summary: Made of dust and bone and imagination, Irréelle fears she's not quite real. Only the finest magical thread tethers her to life - and to Miss Vesper. But for all her efforts to please her cruel creator, the thread is unravelling. Irréelle is forgetful as she gathers bone dust. She is slow returning from the dark passages beneath the cemetery. Worst of all, she is unmindful of her crooked bones. When Irréelle makes one final, unforgivable mistake by destroying a frightful creature just brought to life, Miss Vesper threatens to imagine her away once and for all. Defying her creator for the very first time, Irréelle flees to the underside of the graveyard and embarks on an adventure to unearth the mysterious magic that breathes bones to life, even if it means she will return to dust and be no more.",1231933,,MF KAS,309 pages.,,,First Titan edition.,,,9.78179E+12,,,,,London,2019,2019,,Heather Kassner.,,The bone garden,,,,,Monograph,text,,,,,"Kassner, Heather",,Titan Books,,"Death - FictionMagic - FictionCemeteries - FictionDeathSorceryBurial sites",,,
Summary: Billie and Jack are best friends. They do everything together. Billie and Jack are sure they'll be book buddies for the school Reading Challenge. But what happens when they get split up?,1255683,,PF RIP,65 pages : illustrations.,,,,,,9.78176E+12,,,,,"Richmond, Victoria",2019,2019,,by Sally Rippin ; illustrated by Aki Fukuoka.,,The book buddies,,,,,Monograph,text,,,,,"Rippin, SallyFukuoka, Aki",,Hardie Grant Egmont,"Billie B Brown; Hey Jack!; ","Books and reading - FictionFriendship - FictionBooksReadingFriendshipFiction",,,
"Summary: Every stone has a story, the echo of a memory, a walk in the wilderness, a time and a place lived and loved. This book is about these stones. Every stone has its own unique story - and everybody needs a story stone and a book to collect it in! Mark has collected stones of all shapes and sizes since he was a kid and now he wants to share his passion in a book (unlike all other other rock and mineral books) that explains the special connection that can be enjoyed when one pays attention to the stones that are all around us and can mean so much, if we take the time to appreciate them. Together Mark and illustrator, Coral Tulloch, have created a book that allows them to share the theme of geological wonder, solitude, special memories and places through stone.",1255674,,JNF 552 GRE,32 unnumbered pages : colour illustrations.,,,,,,9.78176E+12,,,,,"Newtown, NSW",2019,2019,,by Mark Greenwood ; illustrated by Coral Tulloch.,,The book of stone,,,,,Monograph,text,,,,,"Greenwood, MarkTulloch, Coral",,Walker Books Australia,,"Rocks - Collectors and collectingRocks - AnecdotesRock typesPersonal narrativesCollectingPicture books",,,
"Readhowyouwant 16 point large print. It is 1939. Nazi Germany. Liesel Meminger and her younger brother are being taken by their mother to live with a foster family outside Munich. Liesel's father was taken away on the breath of a single, unfamiliar word - Kommunist - and Liesel sees the fear of a similar fate in her mother's eyes. On the journey, Death visits the young boy, and notices Liesel. It will be the first of many near encounters. By her brother's graveside, Liesel's life is changed when she picks up a single object, partially hidden in the snow. It is The Gravedigger's Handbook, left there by accident, and it is her first act of book thievery. So begins a love affair with books and words, as Liesel, with the help of her accordion - playing foster father, learns to read. Soon she is stealing books from Nazi book - burnings, the mayor's wife's library, wherever there are books to be found. But these are dangerous times. When Liesel's foster family hides a Jewish fist - fighter in their basement, Liesel's world is both opened up, and closed down. The Book Thief is a story about the power of words to make worlds. In superbly crafted writing that burns with intensity, award - winning author Markus Zusak has given us one of the most enduring stories of our time.",1251972,,CS ZUS,"x, 610 p. (large print) : ill. ; 25 cm.",,,EasyRead large print ed.,,,9.78146E+12,,,"Originally published: Sydney, NSW : Pan MacMillan Aust., 2005. ISBN (033036426X) on t.p. verso is for the Pan MacMillan Aust. ed. Set in 16 pt. Verdana.",,Sydney,"2011, c2005",2011,,Markus Zusak.,,The book thief: Large print. ,,,,,Monograph,text,,,,,"Zusak, Markus",,Read How You Want,,"Books and reading - FictionJews - Germany - History - 1933-1945 - FictionWorld War, 1939-1945 - Jews - Rescue - FictionYoung adult fictionGermany - Fiction",,,
"Summary: When toy robot, Boot, wakes up at a scrapyard, it has no idea how it got there and why it isn't with its owner, Beth. It only has two and a half glitchy memories, but it knows it was loved, which means something important to humans. Boot soon realises its emotions make it different to other robots, who just function and don't think. Boot is scared but tries to be brave, which is hard when its screen keeps showing a wobbly, worried face. Luckily Boot meets Noke and Red -- other 'advanced' robots who have learned to survive in secret. With its new friends by its side, Boot is determined to find Beth and the gang set off on a dangerous adventure. Everything Boot thought it knew about the world is changing and things aren't as simple as it remembers.",1211136,,PF HEG,226 pages : illustrations.,,,,,,9.78144E+12,,,,,London,2019,2019,,Shane Hegarty illustrated by Shane Hegarty.,,"Boot : small robot, big adventure",,,,,Monograph,text,,,,,"Hegarty, Shane",,Hodder Children's Books,,"Robots - FictionLost and found - FictionRobotsLost propertyFiction",,,
"Summary: Shif is just an ordinary schoolboy who loves chess and playing with his best friend. But, one day, he is forced to leave home to avoid conscription into the army. He embarks on an epic journey, in which he encounters dangers and cruelties - and great acts of human kindness - as he bravely makes his way to a future he can only imagine.",1211082,,MF FOU,207 pages.,,,,,,9.78178E+12,,,,,London,2018,2018,,Ele Fountain.,,Boy 87,,,,,Monograph,text,,,,,"Fountain, Ele",,Pushkin Press,,"Boys - FictionChildren in Ethiopia - FictionConscription - FictionPrisons - FictionEscapes - FictionComing of age - FictionBoysConscriptionPrisonsEscapeesComing of ageFictionEthiopia - Fiction",,,
"Summary: This is the story of a boy called Bob. He's a little scrawny, a little scruffy, and he likes to sniff footballs (weird) But he has the game in his veins and he's determined to be one of the greats, like his hero from the mighty Tigers, Matthew Richardson. And he will be! But not without a few misadventures first. His older brother and sister are the worst, he has a major crush on a girl who doesn't seem to notice him, and his footy oval at school is actually a rectangle and instead of grass, it's covered in gravel! But that's not going to stop him. Follow Bob as he gets drafted to the Western Bulldogs at seventeen, slogs his guts out at training with the big Dogs, and eventually becomes one of the greatest football captains ever.",1211182,,PF MUR,210 pages : illustrations.,,,,,,9.78176E+12,,,,,"Carlton, Victoria",2019,2019,,Bob Murphy with Tony Wilson ; illustrations by Phillip Marsden.,,A boy called Bob : becomes and AFL footballer,,,,,Monograph,text,,,,,"Murphy, BobWilson, TonyMarsden, Phillip",,Picolo Nero,,"Murphy, BobWestern Bulldogs Football ClubAustralian Football LeagueAustralian Rules football - AutobiographySportspeople - AutobiographyAustralian RulesAthletesAutobiographies",,,
"Summary: Brisbane, 1983: A lost father, a mute brother, a mum in jail, a heroin dealer for a stepfather and a notorious crim for a babysitter. It's not as if Eli's life isn't complicated enough already. He's just trying to follow his heart, learning what it takes to be a good man, but life just keeps throwing obstacles in the way - not least of which is Tytus Broz, legendary Brisbane drug dealer. But Eli's life is about to get a whole lot more serious. He's about to fall in love. And, oh yeah, he has to break into Boggo Road Gaol on Christmas Day, to save his mum.",1266350,,SF DAL,501 pages.,,,,,,9.78146E+12,,,,,Sydney,2019,2019,,Trent Dalton.,,Boy swallows universe,,,,,Monograph,text,,,,,"Dalton, Trent",,Fourth Estate,,"Adolescents - FictionFamily relations - FictionComing of age - FictionFriendship - FictionAdolescentsFamily relationshipComing of ageFriendshipFictionBrisbane (Qld.) - Fiction",,,
"Summary: Fourteen-year-old Ed Clayton is a liar. It started when his dad went to prison and now he can't seem to stop. When Ed's younger brother Sam goes missing one day under his supervision, nobody believes him when he says he can't remember what happened. Things begin to go very wrong for Ed's family when his mum loses her job and they have to start using a foodbank. Ditched even by his best friend, Ed is on his own trying find out what's happened to Sam, until he meets Fallon, a new neighbour who's willing to help him unravel the mystery. The two stumble on a secret even Ed could never have imagined. But nobody will ever believe a liar...",1211091,,MF SLA,273 pages.,,,,,,9.78151E+12,,,On cover: How can a liar discover the truth.,,London,2018,2018,,Kim Slater.,,The boy who lied,,,,,Monograph,text,,,,,"Slater, Kim",,Macmillan Children's Books,,"Deception - FictionBrothers and sisters - FictionMissing persons - FictionSecrecy - FictionInvestigation - FictionDeceptionSiblingsMissing personsSecrecyCriminal investigationFiction",,,
,1231758,,HR 6: RAN,16 pages : colour illustrations.,,,,,,9.78017E+12,,,Running words: 91.,,"South Melbourne, Victoria, Australia",2017,2017,,story by Beverley Randell ; illustrations by Trevor Ruth.,,Brave Father Mouse,,,,,Monograph,text,,,,,"Randell, BeverleyRuth, Trevor",,Cengage Learning Australia,"PM guided reading. Yellow. Level 6; PM guided reading; PM library; ","Mice - FictionCats - FictionMiceCatsFictionLevelled readers",,,
,1231727,,CHT 330.001 ,33 x 23 in poster,,,,,,,,,,,,2017,2017,,,,Break-Even Poster,,,,,Monograph,chart,,,,,,Daydream education,Daydream Education,,"BusinessEconomic analysisEconomic forecasting",,,
"Summary: Brenda says she is a sheep, but why does she look so different from her fluffy friends? All the sheep adore Brenda. With her sharp pointy teeth and cool grey fur, she's the snazziest sheep around. But Brenda is also very hungry, and doesn't much like the taste of grass... she soon begins plotting the most delicious feast of all. But will the sheep notice that Brenda isn't quite the same as them? A brilliant twist on the classic wolf-in-sheep's-clothing fable. (From PanMacmillan)",1211179,,JF HOO,24 unnumbered pages : colour illustrations.,,,,,,9.78151E+12,,,,,London,2019,2019,,Morag Hood.,,Brenda is a sheep,,,,,Monograph,text,,,,,"Hood, Morag",,Two Hoots,,"Sheep - FictionWolves - FictionFriendship - FictionFolklore - FictionSheepFriendshipWolvesFolkloreFictionPicture books",,,
"Summary: When runaway sisters, Viji and developmentally disabled Rukku arrive on Chennai's harsh, teeming streets, they quickly, discover its uncaring, dangerous world. Luckily they find shelter and friendship on an abandoned bridge, with two homeless boys, Muthi and Arul. The foursome become a family of sorts, scavenging the city's trash heaps. But when illness strikes, Viji must decide if she should risk seeking help from strangers.",1211140,,PF VEN,194 pages.,,,International edition.,,,9.78198E+12,,,,,New York,2019,2019,,Padma Venkatraman.,,The bridge home,,,,,Monograph,text,,,,,"Venkatraman, Padma",,Nancy Paulsen Books,,"Street kids - FictionBrothers and sisters - FictionChildren with intellectual disabilities - FictionCities and towns - India - FictionStreet kidsSiblingsCognitive impairmentCitiesLiving standardsFictionIndia - Social conditions - Fiction",,,
"Summary: A peaceful day in Metropolis is interrupted when Brimstone comes to clear a path for Darkseid. This looks like a job for...Supergirl!? Yes, because Superman is out of town visiting his new baby brother! But villainous plots are afoot on New Krypton, too. Is anywhere safe for our superheroes?",1231459,,PF SUP: BAL,24 pages : chiefly colour illustrations.,,,,,,9.78147E+12,,,Originally published by DC Comics in Super Powers #3.,,Oxford,2019,2019,,by Art Baltazar and Franco.,,Brimstone attacks!,,,,,Monograph,graphic,,,,,"Baltazar, ArtAureliani, Franco",,Raintree,Super powers!; 3,"Superheroes - FictionVillains - FictionHeroesVillainsGraphic novels",,,
,1231527,,HR 17: KIR,16 pages : colour illustrations.,,,,,,,,,ISBN duplicated on all volumes in series. Guided reading: I ; Reading level: 17 ; DRA level: 18. Word count: 365.,,"Huntington Beach, CA",[2018],2018,,written by Anna Kirschberg ; illustrated by Anna Evans.,,Bring home the baby,,,,,Monograph,text,,,,,"Kirschberg, AnnaEvans, Anna",,"Junior Learning, Inc","Fantails book banded readers. Fluency level 2, Fiction; 1Fantails book banded readers; 1","Infants - FictionBrothers and sisters - FictionJealousy - FictionLevelled readersBabies (Humans)SiblingsJealousyFiction",,,
"Summary: The book is about childhood memories on Minjerribah and the adventure of Buding the prawn going to the saltwater country and meeting her saltwater cousins. But there's no place like home and Buding returns back to One Mile creek where she lives today. Includes information on understanding the Jandai word structure and how to pronounce words, and an interlinear gloss to help follow the sentences, which is a literal word-for-word translation of the text. In this story, you will see the use of plural, direction using suffixes and tense. (Author)",1211160,,LOTE 298 CLO,22 pages : colour illustrations.,,,,,,9.78065E+12,,,In English and Jandai Coobenpil Nunagal language.,,"Wynnum, Queensland",2018,2018,,written and illustrated by Sandra Close-Delaney.,,Buding biba gawunga = Buding the deadly little prawn,,,,,Monograph,text,,,,,"Delaney, Sandra",,Sandra Close-Delaney,,"Aboriginal peoples - Dreaming - FictionPrawns and prawning - FictionFreshwater ecology - FictionAnimals - Australia - FictionAboriginal peoples - LanguagesDreaming (Spiritual)Aboriginal peoplesPrawnsAnimalsEcosystemsFictionAboriginal languagesNorth Stradbroke Island (Qld.) - Fiction",,,Buding the deadly little prawn
,1231534,,HR 22: 624.2 KIR,16 pages : colour illustrations.,,,,,,,,,ISBN duplicated on all volumes in series. Guided reading: M ; Reading level: 22 ; DRA level: 26. Word count: 497.,,"Huntington Beach, CA",[2018],2018,,written by Anna Kirschberg.,,Build a bridge,,,,,Monograph,text,,,,,"Kirschberg, Anna",,"Junior Learning, Inc","Fantails book banded readers. Fluency level 4, Non-fiction; 1Fantails book banded readers; 1","Levelled readersBridges",,,
,1265646,,CLA 3 690 CRO,16 p. : col. ill.,,,,,,,,,Text type: Description.,,South Melbourne,2009,2009,,by Debbie Croft ; photographs by Lyz Turner-Clark.,,A builder,,,,,Monograph,text,,,,,"Croft, DebbieTurner-Clark, Lyz",,Nelson Cengage Learning,PM benchmark;  level 17,"BuildersBuilding",,,
"Summary: The series provides a strong foundation in the fundamentals of business and follows the progression of the business life cycle from seed to post-maturity stage. Students will develop skills in examining business data and information through a range of analytical tools, with a wealth of visual representations to aid understanding. Learning in Business integrates an inquiry approach with authentic case studies, and the series includes a range of contemporary case studies that increase in depth and scope. (Publisher)",1231721,,TXT 650.071 ADA,366 pages : illustrations (some colour),,,1st edition.,,,9.78017E+12,,,Includes online access code. On title page and cover: Written to the new QCAA Business General Senior Syllabus.,,"South Melbourne, Victoria",2019,2019,,Sally Adams [and three others].,,"Business for QCE. Units 3 & 4, Diversification & evolution",,,,,Monograph,text,,,,,"Adams, Sally",,Cengage Learning Australia,,"BusinessBusiness - Problems, exercises, etcAccounting - Study and teachingBusiness educationEconomics and businessBusiness cyclesProblem setsTeachingQueensland Certificate of Education",,,Diversification and evolution
,1231731,,CHT 658.1 ,33 x 23 in poster,,,,,,,,,,,,2017,2017,,,,Business Stakeholders Poster,,,,,Monograph,chart,,,,,,Daydream education,Daydream Education,,"BusinessEconomic analysisEconomic forecasting",,,
,1231502,,HR 13: 595.78 KIR,16 pages : colour illustrations.,,,,,,,,,ISBN duplicated on all volumes in series. Guided reading: H ; Reading level: 13 ; DRA level: 13. Word count: 228.,,"Huntington Beach, CA",[2018],2018,,written by Anna Kirschberg.,,Butterfly life cycle,,,,,Monograph,text,,,,,"Kirschberg, Anna",,"Junior Learning, Inc","Fantails book banded readers. Early level 4, Non-fiction; 2Fantails book banded readers; 2","Life cycles (Biology)Levelled readersButterfliesAnimal reproductionGrowth (Animals)",,,
"Summary: In the final days of the Việt Nam War, Hà̆ng takes her little brother, Linh, to the airport, determined to find a way to safety in America. In a split second, Linh is ripped from her arms -- and Hà̆ng is left behind in the war-torn country. Six years later, Hà̆ng has made the brutal journey from Việt Nam and is now in Texas as a refugee. She doesn't know how she will find the little brother who was taken from her until she meets LeeRoy, a city boy with big rodeo dreams, who decides to help her. Hà̆ng is overjoyed when she reunites with Linh. But when she realizes he doesn't remember her, their family, or Việt Nam, her heart is crushed. Though the distance between them feels greater than ever, Hà̆ng has come so far that she will do anything to bridge the gap.",1266500,,MF LAI,290 pages.,,,Australian edition.,,,9.7807E+12,,,,,"St Lucia, Queesnland",2020,2020,,Thanhhà Lại.,,Butterfly yellow,,,,,Monograph,text,,,,,"Lại, Thanhhà",,UQP,,"Refugees, Vietnamese - FictionVietnamese in the United States - FictionBrothers and sisters - FictionSeparation (Psychology) - FictionFriendship - FictionMemory - FictionRefugeesMinority groupsSiblingsAttachmentFriendshipMemory (Cognition)Texas - History - Fiction",,,
Summary: Buzz creates a book that features Buzz Boy and Fly Guy as superheroes.,1231621,,PF ARN,28 p. : col. ill.,,,,,,9.78055E+12,,,,,New York,2010,2010,,Tedd Arnold.,,Buzz Boy and Fly Guy,,,,,Monograph,graphic,,,,,"Arnold, Tedd",,Cartwheel,Fly Guy; 9,"Flies - FictionPets - FictionHeroes - FictionImagination - FictionWriting (Authorship) - FictionCreating textsHeroesImaginationPetsFlies (Insects)Fiction",,,
"Summary: When Grace and Izzie are paired up as buddies at their school camp, they quickly run into trouble. Putting up a tent is supposed to be easy! But not the way Grace and Izzie do it. Accidents just seem to happen to them. Grace didn't think she would have any fun at this camp, after her best friend moved away. Izzie makes everything fun, though. Even accidents! (Back cover)",1231793,,HR 23: MCA,24 pages : colour illustrations.,,,,,,9.78017E+12,,,Text types: Narrative (imaginative),,"South Melbourne, Victoria",2015,2015,,story by Marg McAlister ; illustrations by Bruce Rankin.,,Camp buddies,,,,,Monograph,text,,,,,"McAlister, MargRankin, Bruce",,Nelson Cengage Learning,"PM Guided reading. Silver. Level 23; PM. Level 23; PM guided reading; PM library; ","Camping - FictionFriendship - FictionCampingFriendshipFictionLevelled readers",,,
"Summary: When the Incredible Robo-Plunger defeated the evil Turbo Toilet 2000, George and Harold thought their toilet troubles were over. Unfortunately, their porcelain problems were only beginning . Just when you thought it was safe to flush. The Turbo Toilet 2000 strikes back! The carnivorous commode known for devouring everything in its path has built up a real appetite ... for REVENGE! Join Captain Underpants for another epic showdown of Wedgie Power vs. Potty Power! (Books in Print)",1265579,,PF PIL,220 pages : illustrations.,,,,,,9.78055E+12,,,,,"New York, NY",2014,2014,,the eleventh epic novel by Dav Pilkey.,,Captain Underpants and the tyrannical retaliation of the turbo toilet 2000,,,,,Monograph,text,,,,,"Pilkey, Dav",,Scholastic Inc,Captain Underpants; 11,"Heroes - FictionComics - FictionSchool principals - FictionPrimary schools - FictionHeroesComics (Cartoons)School principalsPrimary schoolsFiction",,,
"Summary: As the three thieves trek further west in search of Greyfalcon, they stumble on a kidnapping in progress. Dessa daringly rescues the victim - who turns out to be the crown prince of Medoria! The thieves are still on the run from the Queen's Dragons, so being openly celebrated by a neighbouring kingdom seems like a bad idea. But it also holds a rare opportunity. The prince - who grows more and more devoted to Dessa - promises his help on her quest. However, he and his father, the King, may not see eye-to-eye.",1231675,,MF THR: CHA,116 p. : chiefly col. ill.,,,,,,9.78155E+12,,,,,Toronto,2012,2012,,Scott Chantler.,,The captive prince #3,,,,,Monograph,graphic,,,,,"Chantler, Scott",,Kids Can,Three thieves; bk. 3,"Princes and princesses - FictionKidnapping - FictionOrphans and orphanages - FictionRobberies - FictionBrothers and sisters - FictionTwins - FictionCircuses - FictionMissing persons - FictionMissing personsGraphic novelsTwinsSiblingsFictionCircusTheftOrphanagesKidnappingPrinces",,,
,1211378,,CLA PMR3 822 COW,32 pages : colour illustrations.,,,,,,9.78017E+12,,,,,"South Melbourne, Australia",2013,2013,,adapted by Sally Cowan.,,"Car trouble ; and, The fishing trip",,,,,Monograph,text,,,,,"Cowan, SallyRathbone, MandiSutherland, KathrynGordon, Michele",,Cengage Learning Australia,"PM reader's theatre. Oral literacy. Level 22; PM reader's theatre; PM oral literacy; ","Australian dramaMotor cars - DramaFishing - DramaDrama (Literature)Australian literatureCarsFishing",,,The fishing trip.
,1231549,,HR 21: KIR,16 pages : colour illustrations.,,,,,,,,,ISBN duplicated on all volumes in series. Guided reading: L ; Reading level: 21 ; DRA level: 22. Word count: 500.,,"Huntington Beach, CA",[2018],2018,,written by Anna Kirschberg ; illustrated by Anna Evans.,,Career day,,,,,Monograph,text,,,,,"Kirschberg, AnnaEvans, Anna",,"Junior Learning, Inc","Fantails book banded readers. Fluency level 4, Fiction; 2Fantails book banded readers; 2","Careers - FictionLevelled readersCareer scenariosFiction",,,
"Summary: Carmichael the Carnaby's Black Cockatoo has made his first flight out of the nest and joined his parents on the long journey to their coastal feeding grounds. But when they return, they find out their home has been destroyed. What will they do? And, more importantly, what can we all do to help?",1211310,,JF FUS,28 unnumbered pages : colour illustrations.,,,,,,9.78193E+12,,,,,"Glebe, NSW",2018,2018,,"Shelly Fussell, Samantha Metcalfe.",,Carmichael's journey,,,,,Monograph,text,,,,,"Fussell, ShellyMetcalfe, Samantha",,Little Steps Publishing,Eco-awareness series; 1,"Cockatoos - FictionBirds - Australia - FictionNature conservation - FictionCockatoosBirdsConservation (Environment)FictionPicture booksWestern Australia - Fiction",,,
,1265635,,CLA 3 394.25 SMI,[2] p. : col. ill.,,,,,,,,,Text type: Description.,,South Melbourne,[2009],2009,,by Annette Smith.,,Carnival time,,,,,Monograph,text,,,,,"Smith, Annette",,Nelson Cengage Learning,PM benchmark;  level 21,"FestivalsCarnivals",,,
"Summary: It's a Scooby-Doo reunion when Scooby and the rest of the Mystery Inc. gang gather at a circus under the big top. But when the clowns enter the ring, things go from merry to mayhem -- the clowns turn into robots!",1211083,,PF SUT,105 pages : colour illustrations.,,,,,,9.7815E+12,,,,,"North Mankato, Minnesota",2017,2017,,by Laurie S. Sutton ; illustrated by Scott Neely.,,The case of the clown carnival,,,,,Monograph,text,,,,,"Sutton, LaurieNeely, Scott",,Stone Arch Books,"You choose. Scooby Doo!; You choose; ","Circuses - FictionClowns - FictionRobots - FictionCircusClowningRobotsFiction",,,
,1231492,,HR 16: 394.2614 KIR,16 pages : colour illustrations.,,,,,,,,,ISBN duplicated on all volumes in series. Guided reading: J ; Reading level: 16 ; DRA level: 16. Word count: 312.,,"Huntington Beach, CA",[2018],2018,,written by Anna Kirschberg.,,Celebrate the New Year,,,,,Monograph,text,,,,,"Kirschberg, Anna",,"Junior Learning, Inc","Fantails book banded readers. Fluency level 1, Non-fiction; 5Fantails book banded readers; 5","Levelled readersNew Year",,,
Summary: In this book Suzie the Scientist helps us learn about how changes in the sky can lead to changes in the weather. Sometimes the sky is blue and we have a nice warm sunny day. Sometimes the sky is grey and it is rainy. We learn that changes in the weather can affect how we play. (Back cover),1231571,,HR 3: 551.6 OSB,16 pages : colour illustrations.,,,,,,9.78065E+12,,,"On cover: Changes in the sky : Earth and space sciences. Reading level: PM 3-5, Fountas & Pinnell C-D. On front cover: Written for the Australian Curriculum: Science.",,"West Burleigh, QLD",2017,2017,,"Sienna Osborne, Randall Hall, Richard John.",,Changes in the sky,,,,,Monograph,text,,,,,"Osborne, SiennaHall, RandallJohn, Richard",,Publicious Pty Ltd,Suzie the scientist; 3,"Levelled readersWeatherPicture books",,,Changes in the sky : Earth and space sciences
,1211380,,CLA PME3 306 AND,32 p. : col. ill.,,,,,,017011466X,,,,,"Southbank, Vic.",2004,2004,,Jan Anderson.,,Changing cultures,,,,,Monograph,text,,,,,"Anderson, Jan",,Thomson Nelson,"PM library; Ruby levelPM extras; Non-fiction","Social life and customsSocial change",,,
Summary: In this book Suzie the Scientist helps us learn about the changing seasons. We explore how seasons have observable changes. Suzie helps us understand that different parts of the world have different seasons throughout the year. (Back cover),1231568,,HR 10: 508.2 OSB,16 pages : colour illustrations.,,,,,,9.78065E+12,,,"On cover: Changing seasons : Earth and space sciences. Reading level: PM 10-12, Fountas & Pinnell F-G. On front cover: Written for the Australian Curriculum: Science.",,"West Burleigh, QLD",2017,2017,,"Sienna Osborne, Randall Hall, Richard John.",,Changing seasons,,,,,Monograph,text,,,,,"Osborne, SiennaHall, RandallJohn, Richard",,Publicious Pty Ltd,Suzie the scientist; 11,"Levelled readersSeasonsPicture books",,,Changing seasons : Earth and space sciences
,1231597,,PF BLA,"212 p. : ill., 1 map.",,,,,,9.78141E+12,,,,,London,2010,2010,,by Adam Blade.,,Chasing evil #2,,,,,Monograph,text,,,,,"Blade, Adam",,Orchard,The chronicles of Avantia; 2,"Phoenix - FictionHeroes - FictionHeroesFiction",,,
"Summary: Felix's ADHD makes it hard for him to concentrate and his grades are slipping. Everyone keeps telling him to try harder, but no one realizes how hard it is! When Mum suggests Felix spends time with his granddad, Felix can't think of anything worse. Granddad hasn't been the same since Grandma died, and he's always trying to teach Felix boring chess. But sometimes the best lessons come in the most unexpected of places, and Granddad soom shows Felix that there's everything to play for.",1231932,,PF FOS,345 pages.,,,,,,9.78147E+12,,,,,London,2019,2019,,Stewart Foster.,,Check mates,,,,,Monograph,text,,,,,"Foster, Stewart",,Simon & Schuster,,"Attention deficit disorders - FictionGrandfathers - FictionChess - FictionFamily relations - FictionCold War - FictionGrief - FictionAttention deficit hyperactivity disorderGrandparentsChessFamily relationshipCold WarGriefFiction",,,
Summary: Green grannies. Hungry pies in the toilet. Cats with sixteen eyes. Why does cheese give Hal such bad dreams? Hal and his fat dog Rufus must take on the most evil cows on earth to find out. (Back cover),1211105,,PF LIT COL,107 pages : illustrations.,,,,,,9.78178E+12,,,Dyslexia-friendly.,,Edinburgh,2013,2013,,Ross Collins.,,Cheesemares,,,,,Monograph,text,,,,,"Collins, Ross",,Barrington Stoke Ltd,Little gems; ,"Cheese - FictionCattle - FictionDreams - FictionDogs - FictionCheeseCattleDreaming (Sleeping)DogsFiction",,,
"Summary: Write in Skills and Assessment Book written to support teaching and learning across all requirements of the new Syllabus, providing practice, application and consolidation of learning. This book is fully aligned to the new QCE 2019 Syllabus.",1211314,,TR 540.76 COM,216 pages : illustrations.,,,,,,9.78149E+12,,,On cover: QCE 2019 syllabus. Cover title. At head of title: Pearson.,,"Melbourne, Victoria",2019,2019,,"author, Penny Commons.",,"Chemistry. 12, QCE units 3 & 4. Queensland. Skills and assessment",,,,,Monograph,text,,,,,"Commons, Penny",,Pearson Australia,,"Chemistry - Problems, exercises, etcMatterQueensland Certificate of EducationProblem setsEducational workbooks",,,"Pearson chemistry. 12, units 3 & 4. Queensland."
"Summary: Chemistry for Queensland , units 3 & 4 has been purpose-written to meet the requirements of the QCAA Chemistry General Senior syllabus. It provides depth and complete coverage of the new syllabus in a format that offers extensive support for teachers and their students. (Publisher)",1255628,,TXT 540 KUI,"xi, 421 pages : colour illustrations.",,,1st edition.,,,9.78019E+12,,,Includes a code that provides complimentary access to Oxford Digital&#39;s obook and assess.,,"Docklands, Victoria",2019,2019,,Krystle Kuipers [and four others].,,Chemistry for Queensland. QCE Units 3 & 4. Student book,,,,,Monograph,text,,,,,"Kuipers, Krystle",,Oxford University Press Australia,,"ChemistryMatterTextbooks",,,
Summary: Chemistry for Queensland Student workbooks are standalone resources designed to help students succeed in their internal and external assessments. (Publisher),1255632,,TR 540.76 DRE,"vii, 178 pages : colour illustrations.",,,,,,9.78019E+12,,,,,"Docklands, Victoria",2019,2019,,Carolyn Drenen.,,"Chemistry for Queensland. QCE Units 3 & 4, Student workbook",,,,,Monograph,text,,,,,"Drenen, Carolyn",,Oxford University Press Australia,,"Chemistry - Problems, exercises, etcMatterProblem setsEducational workbooks",,,
"Summary: Chemistry for Queensland Student workbooks are standalone resources designed to help students succeed in their internal and external assessments. They include a toolkit chapter focused on internal assessments and cognitive verbs. Data drill activities that help students develop the key skills in analysis and interpretation required for the data test. Activities that allow students to practise how to evaluate a claim and identify credible sources for the research investigation, and much more.",1266379,,TR 540.76 ADR,"vii, 186 pages : colour illustrations.",,,,,,9.78019E+12,,,,,"Docklands, Victoria",2019,2019,,"Kate Adriaans, Philip Sharpe.",,Chemistry for Queensland. Units 1 & 2. Student book,,,,,Monograph,text,,,,,"Adriaans, KateSharpe, Philip",,Oxford University Press Australia,,"Chemistry - Problems, exercises, etcMatterProblem setsEducational workbooks",,,
"Summary: The long-term damage from an accident at the Chernobyl nuclear power plant more than 30 years ago is still unknown. When explosions ripped through the reactor in rural Ukraine, then part of the Soviet Union, they spewed huge amounts of radioactive material into the atmosphere and caused the worst nuclear disaster in history. About 10,000 people have died or will die because of their exposure to radiation, and experts worry about the children born to parents who were living near the disaster area. With international help, Ukraine has enclosed the damaged reactor, giving scientists time to figure out what the future holds.",1231454,,363.17 BUR,"64 pages : illustrations (some colour), maps, portraits.",,,,,,9.78076E+12,,,,,"North Mankato, Minnesota",2018,2018,,by Michael Burgan.,,Chernobyl explosion : how a deadly nuclear accident frightened the world,,,,,Monograph,text,,,,,"Burgan, Michael",,Compass Point Books,"Captured history. Science; Captured history; ","Chernobyl Nuclear Power Plant (Ukraine)Nuclear power stations - AccidentsRadiation - Physiological effectsNuclear disastersElectromagnetic radiation",,,
